actual_trip_id,stop_id,sequence_number,actual_arrival_time,actual_departure_time,event_type,crowding_level,vehicle_number
1,3600,1,22:00:00,22:00:30,boarding,4,5501
1,1500,2,22:01:48,22:01:48,passthrough,4,5501
1,1510,3,22:03:41,22:03:41,passthrough,4,5501
1,1530,4,22:06:30,22:06:30,passthrough,5,5501
1,1610,5,22:10:13,22:10:13,passthrough,5,5501
1,538,6,22:14:54,22:14:54,alighting,5,5501
2,3600,1,19:57:30,19:58:00,boarding,2,5502
2,1500,2,19:58:48,19:58:48,passthrough,2,5502
2,1510,3,19:59:41,19:59:41,passthrough,2,5502
2,1530,4,20:00:30,20:00:30,passthrough,2,5502
2,1610,5,20:02:13,20:02:13,passthrough,2,5502
2,538,6,20:03:54,20:03:54,alighting,2,5502
3,2010,1,11:10:30,11:11:00,boarding,3,5503
3,2020,2,11:11:02,11:11:02,passthrough,3,5503
3,2030,3,11:11:25,11:11:25,passthrough,3,5503
3,2050,4,11:11:52,11:11:52,passthrough,3,5503
3,2060,5,11:12:17,11:12:17,passthrough,3,5503
3,2070,6,11:12:42,11:12:42,alighting,3,5503
4,11370,1,06:59:00,06:59:30,boarding,4,5504
4,11390,2,07:01:51,07:01:51,passthrough,5,5504
4,11400,3,07:03:28,07:03:28,passthrough,5,5504
4,11410,4,07:05:01,07:05:01,passthrough,5,5504
4,11430,5,07:06:44,07:06:44,passthrough,5,5504
4,11566,6,07:08:00,07:08:00,alighting,5,5504
5,1085,1,07:09:30,07:10:00,boarding,2,5505
5,1110,2,07:11:38,07:11:38,passthrough,2,5505
5,1120,3,07:12:30,07:12:30,passthrough,2,5505
5,1180,4,07:15:30,07:15:30,passthrough,2,5505
5,1190,5,07:16:33,07:16:33,passthrough,2,5505
5,1195,6,07:17:22,07:17:22,alighting,2,5505
6,55938,1,07:56:00,07:56:30,boarding,5,5506
6,55939,2,07:58:56,07:58:56,passthrough,5,5506
6,46466,3,08:01:46,08:01:46,passthrough,5,5506
6,46468,4,08:05:02,08:05:02,passthrough,5,5506
6,46472,5,08:09:06,08:09:06,passthrough,5,5506
6,45301,6,08:13:30,08:13:30,alighting,5,5506
7,55938,1,09:53:30,09:54:00,boarding,2,5507
7,55939,2,09:54:56,09:54:56,passthrough,2,5507
7,46466,3,09:55:46,09:55:46,passthrough,2,5507
7,46468,4,09:57:02,09:57:02,passthrough,2,5507
7,46472,5,09:58:06,09:58:06,passthrough,2,5507
7,45301,6,09:59:30,09:59:30,alighting,2,5507
8,54842,1,07:23:30,07:24:00,boarding,3,5508
8,54843,2,07:24:14,07:24:14,passthrough,3,5508
8,46600,3,07:24:52,07:24:52,passthrough,3,5508
8,46610,4,07:25:18,07:25:18,passthrough,4,5508
8,46620,5,07:25:45,07:25:45,passthrough,4,5508
8,46630,6,07:26:05,07:26:05,alighting,4,5508
9,1471,1,07:45:00,07:45:30,boarding,4,5509
9,1480,2,07:47:10,07:47:10,passthrough,5,5509
9,1490,3,07:48:39,07:48:39,passthrough,5,5509
9,8541,4,07:51:30,07:51:30,passthrough,5,5509
9,8550,5,07:55:19,07:55:19,passthrough,5,5509
9,8590,6,07:59:40,07:59:40,alighting,5,5509
10,56805,1,05:15:40,05:16:10,boarding,2,5510
10,56810,2,05:16:08,05:16:08,passthrough,2,5510
10,56815,3,05:16:42,05:16:42,passthrough,2,5510
10,56820,4,05:17:22,05:17:22,passthrough,2,5510
10,56825,5,05:17:41,05:17:41,passthrough,2,5510
10,56830,6,05:18:02,05:18:02,alighting,2,5510
11,85170,1,06:00:30,06:01:00,boarding,3,5511
11,85180,2,06:00:53,06:00:53,passthrough,3,5511
11,85190,3,06:01:19,06:01:19,passthrough,3,5511
11,85200,4,06:02:44,06:02:44,passthrough,3,5511
11,85210,5,06:04:34,06:04:34,passthrough,4,5511
11,85220,6,06:06:00,06:06:00,alighting,4,5511
12,1530,1,05:32:30,05:33:00,boarding,2,5512
12,1610,2,05:33:58,05:33:58,passthrough,2,5512
12,538,3,05:35:25,05:35:25,passthrough,2,5512
12,558,4,05:37:03,05:37:03,passthrough,2,5512
12,575,5,05:38:30,05:38:30,passthrough,2,5512
12,600,6,05:40:17,05:40:17,alighting,2,5512
