service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
11615,0,0,0,0,0,0,0,20251210,20260325
11808,0,0,0,0,0,0,0,20251210,20260325
15473,0,0,0,0,0,0,1,20251207,20260322
15884,0,0,0,0,0,0,0,20251222,20260313
18174,0,0,0,0,0,0,1,20251207,20260322
18734,0,0,0,0,0,0,0,20251222,20260227
19651,0,0,0,0,0,0,0,20251222,20260327
19946,0,0,0,0,0,0,1,20251207,20260322
20183,0,0,0,0,0,1,0,20251206,20260321
21598,0,0,0,0,0,0,1,20251207,20260322
23607,0,0,0,0,0,1,0,20251206,20260321
2701,0,0,0,1,0,0,0,20251225,20260101
27499,0,0,1,0,0,0,0,20251210,20260325
52553,0,0,0,0,0,0,0,20251208,20260327
54548,0,0,0,0,0,0,0,20251208,20260327
62396,0,0,0,0,0,0,0,20251208,20260326
63313,0,0,0,0,0,0,0,20251208,20260327
66163,0,0,0,0,0,0,0,20251208,20260327
78623,0,1,1,0,1,0,0,20251208,20260327
82047,1,1,1,0,1,0,0,20251208,20260327
84748,1,1,1,1,1,0,0,20251208,20260327
